Id,MSSubClass,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSeWa,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
1,0.23529412,0.033419803,1.0,0.6666667,0.5,0.3254902,0.8833333,0.122499995,0.6666667,1.0,0.6666667,1.0,1.0,0.4,0.12508859,1.0,0.0,0.06421233,0.1400982,0.2,0.0,1.0,0.11977971,0.41355932,0.0,0.25923136,0.33333334,0.0,0.6666667,0.5,0.375,0.33333334,0.6666667,0.5,0.0,0.9363651,0.5,0.5,0.3864598,1.0,1.0,1.0,0.0,0.11151737,0.0,0.0,0.0,0.0,0.0,0.09090909,0.5,208500,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0.0,0.038795017,1.0,0.5555556,0.875,0.21960784,0.43333334,0.0,1.0,1.0,0.6666667,1.0,0.33333334,0.0,0.17328136,1.0,0.0,0.12157534,0.20654665,0.2,0.0,1.0,0.21294172,0.0,0.0,0.17483045,0.0,0.5,0.6666667,0.0,0.375,0.33333334,1.0,0.33333334,0.33333334,0.69091034,0.5,0.5,0.32440057,1.0,1.0,1.0,0.34772462,0.0,0.0,0.0,0.0,0.0,0.0,0.36363637,0.25,181500,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,0.23529412,0.04650728,1.0,0.6666667,0.5,0.31764707,0.8666667,0.10125,0.6666667,1.0,0.6666667,1.0,0.6666667,0.4,0.08610914,1.0,0.0,0.18578768,0.15057284,0.2,0.0,1.0,0.13446535,0.41937047,0.0,0.27354935,0.33333334,0.0,0.6666667,0.5,0.375,0.33333334,0.6666667,0.33333334,0.33333334,0.9181824,0.5,0.5,0.42877293,1.0,1.0,1.0,0.0,0.07678245,0.0,0.0,0.0,0.0,0.0,0.72727275,0.5,223500,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,0.29411766,0.038561314,1.0,0.6666667,0.5,0.9843137,0.33333334,0.0,1.0,1.0,1.0,0.33333334,1.0,0.0,0.03827073,1.0,0.0,0.23116438,0.12373159,0.2,0.5,1.0,0.14387333,0.36610168,0.0,0.2605501,0.33333334,0.0,0.33333334,0.0,0.375,0.33333334,0.6666667,0.41666666,0.33333334,0.8909092,1.0,0.75,0.45275036,1.0,1.0,1.0,0.0,0.06398538,0.49275362,0.0,0.0,0.0,0.0,0.09090909,0.0,140000,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,0.23529412,0.060576316,1.0,0.7777778,0.5,0.3137255,0.8333333,0.21875,0.6666667,1.0,0.6666667,1.0,0.0,0.4,0.11605245,1.0,0.0,0.20976028,0.1873977,0.2,0.0,1.0,0.18609454,0.50992733,0.0,0.35116804,0.33333334,0.0,0.6666667,0.5,0.5,0.33333334,0.6666667,0.5833333,0.33333334,0.90909195,0.5,0.75,0.5895628,1.0,1.0,1.0,0.22403733,0.1535649,0.0,0.0,0.0,0.0,0.0,1.0,0.5,250000,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,0.1764706,0.059898574,1.0,0.44444445,0.5,0.28627452,0.75,0.0,1.0,1.0,0.6666667,1.0,1.0,0.4,0.12969525,1.0,0.0,0.02739726,0.13027823,0.2,0.0,1.0,0.106011935,0.27409202,0.0,0.19366993,0.33333334,0.0,0.33333334,0.5,0.125,0.33333334,1.0,0.25,0.0,0.84545517,1.0,0.5,0.33850494,1.0,1.0,1.0,0.046674445,0.054844607,0.0,0.62992126,0.0,0.0,0.045161292,0.8181818,0.75,143000,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,0.0,0.04105728,1.0,0.7777778,0.5,0.32941177,0.9166667,0.11625,0.6666667,1.0,0.0,1.0,0.0,0.4,0.24255846,1.0,0.0,0.13570206,0.27594107,0.2,0.0,1.0,0.31206974,0.0,0.0,0.25621703,0.33333334,0.0,0.6666667,0.0,0.375,0.33333334,0.6666667,0.41666666,0.33333334,0.94545555,0.5,0.5,0.44851905,1.0,1.0,1.0,0.2975496,0.10420475,0.0,0.0,0.0,0.0,0.0,0.6363636,0.25,307000,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,0.23529412,0.042450164,1.0,0.6666667,0.625,0.20784314,0.38333333,0.14999999,1.0,1.0,0.6666667,1.0,0.6666667,0.0,0.15219702,0.2,0.021709634,0.09246575,0.18117839,0.2,0.0,1.0,0.17737494,0.47602907,0.0,0.3308214,0.33333334,0.0,0.6666667,0.5,0.375,0.33333334,1.0,0.41666666,0.6666667,0.66363716,0.5,0.5,0.34132582,1.0,1.0,1.0,0.27421236,0.37294334,0.41304347,0.0,0.0,0.0,0.022580646,0.90909094,0.75,200000,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9,0.1764706,0.022529155,1.0,0.6666667,0.5,0.043137256,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.40753424,0.15581015,0.2,0.5,1.0,0.15787058,0.36416465,0.0,0.27128863,0.0,0.0,0.6666667,0.0,0.25,0.6666667,1.0,0.5,0.6666667,0.2818184,1.0,0.5,0.3300423,0.25,1.0,1.0,0.105017506,0.0,0.3713768,0.0,0.0,0.0,0.0,0.27272728,0.5,129900,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,1.0,0.028605483,1.0,0.44444445,0.625,0.07450981,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4,0.15077959,1.0,0.0,0.059931505,0.16219312,0.2,0.0,1.0,0.17049105,0.0,0.0,0.1399774,0.33333334,0.0,0.33333334,0.0,0.25,0.6666667,1.0,0.25,0.6666667,0.3545456,0.5,0.25,0.14456981,0.5,1.0,1.0,0.0,0.0073126145,0.0,0.0,0.0,0.0,0.0,0.0,0.5,118000,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
